2014 CCIW Swimming Championshi	CCIW
2014 MIAC Swimming and Diving	MIAC
2014 UAA Swimming & Diving Inv	UAA
16th Annual BMC Swimming Champ	BMC
2014 CA OB SCIAC SWIMMING AND	SCIAC
2014 Womens NESCAC Championsh	NESCAC
2014 NCAC Swimming & Diving Ch	NCAC
2014 SCAC Swimming and Diving	SCAC
NWC Swimming Championships	NWC
2014 NEWMAC Championships	NEWMAC
2014 UAA Swimming & Diving Cha	UAA
2014 Centennial Conference Cha	Centennial
2014 UNYSCSA Championships	UNYSCSA
CAC Championship	CAC
2014 MAC Championships	MAC
2014 OAC Championships	OAC
2014 SUNYAC Swimming & Diving	SUNYAC
WIAC Championships 2014	WIAC
SAA Conference Championships	SAA
2014 Liberal Arts Championship	Liberal Arts
ODAC 2014 Swimming Championshi	ODAC
2014 Midwest Conference Champi	Midwest
2014 Metropolitan Collegiate C	Metropolitan
2014 MIAA Championships	MIAA
2014 Landmark Conference Champ	Landmark
NEISDA Championships 2014	NEISDA
2014ECAC Swimming & Diving Ope	ECAC
2014 CUNY CHAMPIONSHIP	CUNY
